what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1487209021713
java.version,sysinfo,,,"1.8.0_121",1487209021713
java.vm.info,sysinfo,,,"mixed mode",1487209021713
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1487209021713
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1487209021713
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1487209021713
java.vm.specification.version,sysinfo,,,"1.8",1487209021713
java.vm.vendor,sysinfo,,,"Oracle Corporation",1487209021713
java.vm.version,sysinfo,,,"25.121-b13",1487209021713
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1487209022197
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1487209023103
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1487209023478
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1487209023494
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1487209023806
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1487209023822
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1487209023838
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1487209023838
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1487209023853
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1487209023916
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1487209023994
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1487209024025
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1487209024041
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1487209026862
started,bundle,com.bstek.ide.common.editor,1.2.7.201207311458,"com.bstek.ide.common.editor",1487209027065
opened,editor,com.bstek.ide.common.editor,1.2.7.201207311458,"com.bstek.ide.editor.PropertyFileEditor",1487209027940
activated,editor,com.bstek.ide.common.editor,1.2.7.201207311458,"com.bstek.ide.editor.PropertyFileEditor",1487209029650
started,bundle,com.bstek.ide.dashboard.editor,0.5.0.201406201759,"com.bstek.ide.dashboard.editor",1487209029907
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1487209030142
started,bundle,com.bstek.ide.core2,0.5.0.201406201759,"com.bstek.ide.core2",1487209030142
opened,editor,com.bstek.ide.dashboard.editor,0.5.0.201406201759,"com.bstek.ide.dashboard.editor.DashboardEditor",1487209030157
activated,editor,com.bstek.ide.dashboard.editor,0.5.0.201406201759,"com.bstek.ide.dashboard.editor.DashboardEditor",1487209030204
activated,editor,com.bstek.ide.common.editor,1.2.7.201207311458,"com.bstek.ide.editor.PropertyFileEditor",1487209032019
closed,editor,com.bstek.ide.dashboard.editor,0.5.0.201406201759,"com.bstek.ide.dashboard.editor.DashboardEditor",1487209032019
