what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1487208468114
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1487208468130
started,bundle,com.bstek.ide.libraries2,0.5.0.201406201759,"com.bstek.ide.libraries2",1487208468802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208469396
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1487208470459
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1487208470474
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1487208470662
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1487208470756
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1487208470756
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1487208471521
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1487208471553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208472115
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1487208473141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208476113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487208481903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208482246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208486824
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1487208490673
